Sample Names	MutationType	CN1	CN2	CN13	CN23
Synthetic_Patient10	9+:LOH:1Mb-10Mb	0.02847057952667963	0.35267258578291827	0.6188038934324621	5.294125794006606e-05
Synthetic_Patient10	9+:LOH:10Mb-40Mb	0.006134454810929696	0.9919809200551443	0.0015328284422599545	0.0003517966916662191
Synthetic_Patient10	9+:LOH:>40Mb	0.0011011587168681554	0.8531203220703061	0.14561893099298984	0.0001595882198359646
Synthetic_Patient10	2:het:0-100kb	0.008278574280128514	0.21091089833793752	0.4224297165761088	0.3583808108058252
Synthetic_Patient10	2:het:100kb-1Mb	0.029173899150442537	0.05298707183605616	0.23106101262978695	0.6867780163837144
Synthetic_Patient10	2:het:1Mb-10Mb	0.03249765443752499	0.003234223136249357	0.31401053999997725	0.6502575824262484
Synthetic_Patient10	2:het:10Mb-40Mb	0.11139372804036907	0.0011968246420181882	0.18048893594155135	0.7069205113760614
Synthetic_Patient10	2:het:>40Mb	0.7326468235331354	5.4986846676737045e-06	0.20994581483363955	0.05740186294855749
Synthetic_Patient10	3-4:het:0-100kb	0.12934691524073658	0.5120234532582644	0.09784749839895925	0.26078213310203985
Synthetic_Patient10	3-4:het:100kb-1Mb	0.03441522257435805	0.433639287520635	0.4919579472731738	0.039987542631833094
Synthetic_Patient10	3-4:het:1Mb-10Mb	0.006975779558759293	0.7016421239253188	0.2233307509564747	0.06805134555944715
Synthetic_Patient10	3-4:het:10Mb-40Mb	0.00676784877027835	0.9121179864764444	0.07649525582221148	0.004618908931065696
Synthetic_Patient10	3-4:het:>40Mb	0.004471606368591165	0.9742599143124973	0.02126801334672809	4.65972183536438e-07
Synthetic_Patient10	5-8:het:0-100kb	0.08615950681106689	0.5988294492890193	0.30406885519481763	0.010942188705096195
Synthetic_Patient10	5-8:het:100kb-1Mb	0.0029191339203729423	0.8751691917110977	0.06042140675466553	0.06149026761386378
Synthetic_Patient10	5-8:het:1Mb-10Mb	0.003175461552184219	0.9029218723014354	2.407515874376195e-05	0.09387859098763658
Synthetic_Patient10	5-8:het:10Mb-40Mb	0.00023458096197066225	0.9349815310438185	0.006580907567326184	0.05820298042688459
Synthetic_Patient10	5-8:het:>40Mb	0.0039454508284142995	0.9946859134188423	0.0013650330262810464	3.6027264623253423e-06
Synthetic_Patient10	9+:het:0-100kb	0.01913137960297362	0.5406095148705409	0.4334250418631839	0.006834063663301679
Synthetic_Patient10	9+:het:100kb-1Mb	0.02796899723427979	0.8546921970438447	0.11730364416433446	3.516155754096592e-05
Synthetic_Patient10	9+:het:1Mb-10Mb	0.009970837647742028	0.6045139184438595	0.38549534150481013	1.990240358840337e-05
Synthetic_Patient10	9+:het:10Mb-40Mb	0.00029785720839551054	0.9800549791910792	0.01958325554048644	6.390806003888349e-05
Synthetic_Patient10	9+:het:>40Mb	0.0017953357785062806	0.958508471550521	0.039639391087020026	5.680158395274108e-05
